County,date,cases,Region,Color,log_cases,Population,p_cases,log_p_cases
Sullivan,2020-07-04T00:00:00Z,1456,Mid-Hudson,#91bdf0,3.1631613749770184,75211,1935.8870378003219,3.286880011912825
Tioga,2020-07-04T00:00:00Z,145,Southern Tier,#ffd900,2.161368002234975,49045,295.64685492914674,2.4707732633649506
Tompkins,2020-07-04T00:00:00Z,178,Southern Tier,#ffd900,2.250420002308894,102962,172.87931469862667,2.237743032315752
Ulster,2020-07-04T00:00:00Z,1825,Mid-Hudson,#91bdf0,3.2612628687924934,179303,1017.8301534274384,3.0076753127911244
Warren,2020-07-04T00:00:00Z,268,North Country,#dcc8dc,2.428134794028789,64480,415.6327543424317,2.6187097652317544
Washington,2020-07-04T00:00:00Z,246,North Country,#dcc8dc,2.3909351071033793,61828,397.87798408488067,2.5997499088498883
Wayne,2020-07-04T00:00:00Z,183,Finger Lakes,#b4ffaa,2.2624510897304293,90856,201.4176278946905,2.304097476954302
Westchester,2020-07-04T00:00:00Z,35020,Mid-Hudson,#91bdf0,4.544316141747427,968815,3614.725205534596,3.558075287451823
Wyoming,2020-07-04T00:00:00Z,96,Western New York,#979797,1.9822712330395684,40565,236.6572168125231,2.3741197527256968
Yates,2020-07-04T00:00:00Z,48,Finger Lakes,#b4ffaa,1.6812412373755872,25009,191.93090487424527,2.2831449108255946
New York State,2020-07-05T00:00:00Z,397131,New York State,#7a7a7a,5.598933789364211,21250933,1868.769714722643,3.2715557873140395
Albany,2020-07-05T00:00:00Z,2152,Capital,#00ffff,3.3328422669943514,307426,700.005855067561,2.8451016726041116
Allegany,2020-07-05T00:00:00Z,63,Western New York,#979797,1.7993405494535817,47025,133.9712918660287,2.127011745231165
Broome,2020-07-05T00:00:00Z,753,Southern Tier,#ffd900,2.8767949762007006,194402,387.34169401549366,2.588094247583203
Cattaraugus,2020-07-05T00:00:00Z,127,Western New York,#979797,2.103803720955957,77686,163.4786190562006,2.213460960463553
Cayuga,2020-07-05T00:00:00Z,120,Central New York,#d7e1be,2.0791812460476247,77868,154.10695022345507,2.187822225841246
Chautauqua,2020-07-05T00:00:00Z,132,Western New York,#979797,2.12057393120585,129656,101.80786080088849,2.007781312093554
Chemung,2020-07-05T00:00:00Z,146,Finger Lakes,#b4ffaa,2.164352855784437,85740,170.2822486587357,2.2311693766098233
Chenango,2020-07-05T00:00:00Z,150,Southern Tier,#ffd900,2.1760912590556813,48348,310.2506825515016,2.4917127456196786
Clinton,2020-07-05T00:00:00Z,103,North Country,#dcc8dc,2.012837224705172,80794,127.48471421145135,2.1054581147182714
Columbia,2020-07-05T00:00:00Z,475,Capital,#00ffff,2.6766936096248664,60919,779.7238956647351,2.891940843950461
Cortland,2020-07-05T00:00:00Z,51,Central New York,#d7e1be,1.7075701760979363,48123,105.9784302724269,2.0252174825582707
Delaware,2020-07-05T00:00:00Z,91,Southern Tier,#ffd900,1.9590413923210936,45502,199.99120917761854,2.30101090621619
Dutchess,2020-07-05T00:00:00Z,4243,Mid-Hudson,#91bdf0,3.6276730317666157,293894,1443.7178030174146,3.159482311952902
Erie,2020-07-05T00:00:00Z,7475,Western New York,#979797,3.873611196996467,919866,812.6183596306417,2.909886630193449
Essex,2020-07-05T00:00:00Z,48,North Country,#dcc8dc,1.6812412373755872,37751,127.14894969669677,2.1043127770731678
Franklin,2020-07-05T00:00:00Z,33,North Country,#dcc8dc,1.5185139398778875,50692,65.0990294326521,1.8135745136805472
Fulton,2020-07-05T00:00:00Z,261,Mohawk Valley,#ffff00,2.416640507338281,53743,485.64464209292373,2.686318601715252
Genesee,2020-07-05T00:00:00Z,239,Western New York,#979797,2.3783979009481375,58112,411.2747797356828,2.6141320784431654
Greene,2020-07-05T00:00:00Z,263,Capital,#00ffff,2.419955748489758,47617,552.3237499212466,2.7421937182879157
Hamilton,2020-07-05T00:00:00Z,6,North Country,#dcc8dc,0.7781512503836436,4575,131.14754098360655,2.1177601519811766
Herkimer,2020-07-05T00:00:00Z,173,Mohawk Valley,#ffff00,2.2380461031287955,62505,276.7778577713783,2.442131343615836
Jefferson,2020-07-05T00:00:00Z,94,Tug Hill Seaway,#e978ef,1.9731278535996986,114448,82.1333706137285,1.9145196458993434
Lewis,2020-07-05T00:00:00Z,31,Tug Hill Seaway,#e978ef,1.4913616938342726,26719,116.02230622403532,2.0645414938709172
Livingston,2020-07-05T00:00:00Z,132,Finger Lakes,#b4ffaa,2.12057393120585,63907,206.5501431768038,2.315025500357748
Madison,2020-07-05T00:00:00Z,363,Central New York,#d7e1be,2.5599066250361124,71359,508.6954693871831,2.7064578696759622
Monroe,2020-07-05T00:00:00Z,3953,Finger Lakes,#b4ffaa,3.5969268143429707,744248,531.1401575818813,2.725209138091902
Montgomery,2020-07-05T00:00:00Z,119,Mohawk Valley,#ffff00,2.0755469613925306,49426,240.763970379962,2.3815914965562697
Nassau,2020-07-05T00:00:00Z,42031,Long Island,#ff64a5,4.623569722846634,1356564,3098.3425772761184,3.4911294351130597
New York,2020-07-05T00:00:00Z,216969,New York City,#c8ff00,5.336397687347688,8443713,2569.592310870822,3.409864224037811
