County,date,deaths,cases
Putnam,2020-04-16T00:00:00Z,7,634
Rensselaer,2020-04-16T00:00:00Z,6,140
Rockland,2020-04-16T00:00:00Z,319,8752
Saratoga,2020-04-16T00:00:00Z,4,231
Schenectady,2020-04-16T00:00:00Z,8,245
Steuben,2020-04-16T00:00:00Z,18,154
Suffolk,2020-04-16T00:00:00Z,693,24812
Sullivan,2020-04-16T00:00:00Z,11,437
Ulster,2020-04-16T00:00:00Z,15,845
Washington,2020-04-16T00:00:00Z,2,46
Westchester,2020-04-16T00:00:00Z,668,21828
Wyoming,2020-04-16T00:00:00Z,3,42
New York State,2020-04-17T00:00:00Z,17131,230597
Albany,2020-04-17T00:00:00Z,20,619
Broome,2020-04-17T00:00:00Z,8,178
Chautauqua,2020-04-17T00:00:00Z,3,25
Clinton,2020-04-17T00:00:00Z,3,47
Columbia,2020-04-17T00:00:00Z,10,101
Delaware,2020-04-17T00:00:00Z,3,48
Dutchess,2020-04-17T00:00:00Z,19,2142
Erie,2020-04-17T00:00:00Z,107,2023
Genesee,2020-04-17T00:00:00Z,2,83
Herkimer,2020-04-17T00:00:00Z,3,46
Livingston,2020-04-17T00:00:00Z,3,34
Madison,2020-04-17T00:00:00Z,3,117
Monroe,2020-04-17T00:00:00Z,62,975
Nassau,2020-04-17T00:00:00Z,1109,28539
New York,2020-04-17T00:00:00Z,13202,127352
Niagara,2020-04-17T00:00:00Z,9,227
Oneida,2020-04-17T00:00:00Z,6,261
Onondaga,2020-04-17T00:00:00Z,17,598
Orange,2020-04-17T00:00:00Z,204,6514
Oswego,2020-04-17T00:00:00Z,2,45
Otsego,2020-04-17T00:00:00Z,3,44
Putnam,2020-04-17T00:00:00Z,7,732
Rensselaer,2020-04-17T00:00:00Z,6,150
Rockland,2020-04-17T00:00:00Z,319,8987
Saratoga,2020-04-17T00:00:00Z,4,236
Schenectady,2020-04-17T00:00:00Z,8,295
Steuben,2020-04-17T00:00:00Z,18,154
Suffolk,2020-04-17T00:00:00Z,693,25035
Sullivan,2020-04-17T00:00:00Z,11,505
Ulster,2020-04-17T00:00:00Z,15,880
Washington,2020-04-17T00:00:00Z,2,48
Westchester,2020-04-17T00:00:00Z,668,22476
Wyoming,2020-04-17T00:00:00Z,3,44
New York State,2020-04-18T00:00:00Z,17671,241712
Albany,2020-04-18T00:00:00Z,20,648
Broome,2020-04-18T00:00:00Z,9,186
Chautauqua,2020-04-18T00:00:00Z,3,25
Clinton,2020-04-18T00:00:00Z,3,48
Columbia,2020-04-18T00:00:00Z,10,105
Delaware,2020-04-18T00:00:00Z,4,49
Dutchess,2020-04-18T00:00:00Z,26,2201
Erie,2020-04-18T00:00:00Z,115,2023
Genesee,2020-04-18T00:00:00Z,2,87
