county,deaths,date
Chenango,0,2020-04-26
Clinton,4,2020-04-26
Columbia,14,2020-04-26
Cortland,1,2020-04-26
Delaware,2,2020-04-26
Dutchess,62,2020-04-26
Erie,186,2020-04-26
Essex,0,2020-04-26
Franklin,0,2020-04-26
Fulton,3,2020-04-26
Genesee,3,2020-04-26
Greene,2,2020-04-26
Hamilton,0,2020-04-26
Herkimer,3,2020-04-26
Jefferson,0,2020-04-26
Kings,3734,2020-04-26
Lewis,3,2020-04-26
Livingston,1,2020-04-26
Madison,5,2020-04-26
Manhattan,1439,2020-04-26
Monroe,73,2020-04-26
Montgomery,4,2020-04-26
Nassau,1558,2020-04-26
New York,11293,2020-04-26
Niagara,21,2020-04-26
Oneida,8,2020-04-26
Onondaga,23,2020-04-26
Ontario,4,2020-04-26
Orange,203,2020-04-26
Orleans,5,2020-04-26
Oswego,2,2020-04-26
Otsego,3,2020-04-26
Putnam,42,2020-04-26
Queens,3678,2020-04-26
Rensselaer,7,2020-04-26
Richmond,524,2020-04-26
Rockland,369,2020-04-26
St. Lawrence,1,2020-04-26
Saratoga,11,2020-04-26
Schenectady,18,2020-04-26
Schoharie,1,2020-04-26
Schuyler,0,2020-04-26
Seneca,2,2020-04-26
Steuben,17,2020-04-26
Suffolk,1042,2020-04-26
Sullivan,11,2020-04-26
Tioga,3,2020-04-26
Tompkins,0,2020-04-26
Ulster,19,2020-04-26
Warren,5,2020-04-26
Washington,3,2020-04-26
Wayne,1,2020-04-26
Westchester,920,2020-04-26
Wyoming,5,2020-04-26
Yates,1,2020-04-26
New York State,16966,2020-04-27
Albany,25,2020-04-27
Allegany,2,2020-04-27
Bronx,2487,2020-04-27
Broome,13,2020-04-27
Cattaraugus,2,2020-04-27
