NAME,date,deaths
Texas,2020-04-06T00:00:00Z,182
Utah,2020-04-06T00:00:00Z,13
Vermont,2020-04-06T00:00:00Z,23
Virginia,2020-04-06T00:00:00Z,66
Washington,2020-04-06T00:00:00Z,381
Wisconsin,2020-04-06T00:00:00Z,116
United States,2020-04-07T00:00:00Z,16797
Alabama,2020-04-07T00:00:00Z,64
Arizona,2020-04-07T00:00:00Z,73
Arkansas,2020-04-07T00:00:00Z,18
California,2020-04-07T00:00:00Z,432
Colorado,2020-04-07T00:00:00Z,179
Connecticut,2020-04-07T00:00:00Z,277
Delaware,2020-04-07T00:00:00Z,16
District of Columbia,2020-04-07T00:00:00Z,22
Florida,2020-04-07T00:00:00Z,283
Georgia,2020-04-07T00:00:00Z,329
Idaho,2020-04-07T00:00:00Z,13
Illinois,2020-04-07T00:00:00Z,380
Indiana,2020-04-07T00:00:00Z,173
Iowa,2020-04-07T00:00:00Z,25
Kansas,2020-04-07T00:00:00Z,34
Kentucky,2020-04-07T00:00:00Z,65
Louisiana,2020-04-07T00:00:00Z,582
Maine,2020-04-07T00:00:00Z,12
Maryland,2020-04-07T00:00:00Z,103
Massachusetts,2020-04-07T00:00:00Z,356
Michigan,2020-04-07T00:00:00Z,917
Minnesota,2020-04-07T00:00:00Z,34
Mississippi,2020-04-07T00:00:00Z,60
Missouri,2020-04-07T00:00:00Z,92
Nebraska,2020-04-07T00:00:00Z,10
Nevada,2020-04-07T00:00:00Z,72
New Jersey,2020-04-07T00:00:00Z,1633
New Mexico,2020-04-07T00:00:00Z,13
New York,2020-04-07T00:00:00Z,8930
North Carolina,2020-04-07T00:00:00Z,53
Ohio,2020-04-07T00:00:00Z,167
Oklahoma,2020-04-07T00:00:00Z,67
Oregon,2020-04-07T00:00:00Z,29
Pennsylvania,2020-04-07T00:00:00Z,247
Puerto Rico,2020-04-07T00:00:00Z,23
Rhode Island,2020-04-07T00:00:00Z,27
South Carolina,2020-04-07T00:00:00Z,51
Tennessee,2020-04-07T00:00:00Z,72
Texas,2020-04-07T00:00:00Z,195
Utah,2020-04-07T00:00:00Z,13
Vermont,2020-04-07T00:00:00Z,23
Virginia,2020-04-07T00:00:00Z,66
Washington,2020-04-07T00:00:00Z,400
Wisconsin,2020-04-07T00:00:00Z,123
United States,2020-04-08T00:00:00Z,18951
Alabama,2020-04-08T00:00:00Z,66
Arizona,2020-04-08T00:00:00Z,89
Arkansas,2020-04-08T00:00:00Z,18
California,2020-04-08T00:00:00Z,495
Colorado,2020-04-08T00:00:00Z,193
Connecticut,2020-04-08T00:00:00Z,326
Delaware,2020-04-08T00:00:00Z,19
District of Columbia,2020-04-08T00:00:00Z,27
Florida,2020-04-08T00:00:00Z,309
Georgia,2020-04-08T00:00:00Z,362
Idaho,2020-04-08T00:00:00Z,15
Illinois,2020-04-08T00:00:00Z,462
Indiana,2020-04-08T00:00:00Z,203
Iowa,2020-04-08T00:00:00Z,27
Kansas,2020-04-08T00:00:00Z,38
Kentucky,2020-04-08T00:00:00Z,65
Louisiana,2020-04-08T00:00:00Z,652
Maine,2020-04-08T00:00:00Z,14
Maryland,2020-04-08T00:00:00Z,124
Massachusetts,2020-04-08T00:00:00Z,433
Michigan,2020-04-08T00:00:00Z,1037
Minnesota,2020-04-08T00:00:00Z,39
Mississippi,2020-04-08T00:00:00Z,67
